week_start_date,predicted_ILI,ci_lower_95,ci_upper_95,week
2025-11-16,2590.479655906894,1493.706097384331,4492.034997804322,47
2025-11-23,3312.4061761185053,1910.0967756457528,5743.691021327586,48
2025-11-30,4170.062040758735,2404.773030353437,7230.670788703819,49
2025-12-07,5077.810717939744,2928.341671759651,8804.500074412626,50
2025-12-14,6354.334418133824,3664.611298182005,11017.701188079689,51
2025-12-21,7548.880452328956,4353.59808488047,13088.771715642388,52
2025-12-28,8103.908658954956,4673.725639335013,14051.064107733919,53
2026-01-04,8750.047822491193,5046.403937048491,15171.32203854663,1
2026-01-11,9049.422680887616,5220.408805198921,15686.36595019482,2
2026-01-18,8975.04285290961,5177.497274718296,15557.44118922561,3
2026-01-25,8185.478008075087,4721.978126225865,14188.865035485886,4
2026-02-01,7536.20598582143,4347.397316743486,13063.462590379619,5
2026-02-08,6946.671738811242,4007.2806816601596,12041.605402145586,6
2026-02-15,6236.382958127903,3597.4978212943197,10810.440800692475,7
2026-02-22,5480.207392078307,3161.241759222706,9499.739273760882,8
2026-03-01,4712.815647381849,2718.5148110928008,8169.596411855219,9
2026-03-08,3871.63907518753,2233.219602720089,6711.560120952555,10
2026-03-15,3216.927311342727,1855.5004741068265,5576.728810474618,11
2026-03-22,2551.0042738011934,1471.313289220212,4422.464666918087,12
2026-03-29,2113.9260343969604,1219.15223020078,3664.863996522816,13
2026-04-05,1778.7531740947213,1025.782861083736,3083.898940908518,14
2026-04-12,1613.2347311000603,930.2912485759343,2797.0009165491692,15
2026-04-19,1596.8378767539332,920.8315047960962,2768.5797627943357,16
2026-04-26,1369.0663251295464,789.4245609262927,2373.776579632396,17
2026-05-03,1408.3595368713748,812.0937697585597,2441.88466846832,18
2026-05-10,1222.5843691459306,704.9155604360966,2119.8750625830357,19
2026-05-17,1246.0324206412504,718.4433112229153,2160.5182654030414,20
2026-05-24,1260.6420368089503,726.8719538607555,2185.8415462370494,21
2026-05-31,1130.3687811878926,651.7141465444004,1960.0350500646102,22
2026-06-07,1196.0247163972547,689.5926512621616,2073.838429061107,23
2026-06-14,1140.7560919634484,657.7068385830119,1978.0396837839453,24
2026-06-21,998.8059856929253,575.8123723339348,1731.9933561978023,25
2026-06-28,999.6694480777769,576.3105247692617,1733.49002114849,26
2026-07-05,912.7885424474516,526.1868187660249,1582.8967716657394,27
2026-07-12,891.2434759102933,513.7569462515312,1545.5520690914118,28
