date,eng_name
4/9/2012,Passover (Day 3)
4/10/2012,Passover (Day 4)
4/11/2012,Passover (Day 5)
4/12/2012,Passover (Day 6)
4/13/2012,Passover (Day 7)
4/19/2012,Yom HaShoah
4/25/2012,Yom HaZikaron
4/26/2012,Yom HaAtzmaut
5/10/2012,Lag BaOmer
5/20/2012,Jerusalem Day
5/26/2012,Shavuot Eve
5/27/2012,Shavuot
7/8/2012,17th of Tammuz
7/28/2012,Tisha B'Av
9/16/2012,Rosh Hashana Eve
9/17/2012,Rosh Hashana
9/18/2012,Rosh Hashana (Day 2)
9/19/2012,Gedaliah Fast
9/25/2012,Yom Kippur Eve
9/26/2012,Yom Kippur
9/30/2012,Sukkot Eve
10/1/2012,Sukkot (Day 1)
10/2/2012,Sukkot (Day 2)
10/3/2012,Sukkot (Day 3)
10/4/2012,Sukkot (Day 4)
10/5/2012,Sukkot (Day 5)
10/6/2012,Sukkot (Day 6)
10/7/2012,Sukkot (Day 7) / Hoshanah Rabah
10/8/2012,Shemini Atzeret / Simchat Torah
12/9/2012,Hanukkah (Day 1)
12/10/2012,Hanukkah (Day 2)
12/11/2012,Hanukkah (Day 3)
12/12/2012,Hanukkah (Day 4)
12/13/2012,Hanukkah (Day 5)
12/14/2012,Hanukkah (Day 6) / Rosh Chodesh Tevet
12/15/2012,Hanukkah (Day 7)
12/16/2012,Hanukkah (Day 8)
12/23/2012,Asarah B'Tevet (Tenth of Tevet)
1/22/2013,Election Day
1/26/2013,Tu Bishvat
1/27/2013,Holocaust Remembrance Day
2/21/2013,Fast of Esther
2/24/2013,Purim
2/25/2013,Shushan Purim (Jerusalem)
3/25/2013,Passover Eve
3/26/2013,Passover (Day 1)
3/27/2013,Passover (Day 2)
3/28/2013,Passover (Day 3)
3/29/2013,Passover (Day 4)
3/30/2013,Passover (Day 5)
3/31/2013,Passover (Day 6)
4/1/2013,Passover (Day 7)
4/8/2013,Yom HaShoah
4/15/2013,Yom HaZikaron
4/16/2013,Yom HaAtzmaut
4/28/2013,Lag BaOmer
5/8/2013,Jerusalem Day
5/14/2013,Shavuot Eve
5/15/2013,Shavuot
6/25/2013,17th of Tammuz
7/16/2013,Tisha B'Av
9/4/2013,Rosh Hashana Eve
9/5/2013,Rosh Hashana
9/6/2013,Rosh Hashana (Day 2)
9/8/2013,Gedaliah Fast
9/13/2013,Yom Kippur Eve
9/14/2013,Yom Kippur
9/18/2013,Sukkot Eve
9/19/2013,Sukkot (Day 1)
9/20/2013,Sukkot (Day 2)
9/21/2013,Sukkot (Day 3)
9/22/2013,Sukkot (Day 4)
9/23/2013,Sukkot (Day 5)
9/24/2013,Sukkot (Day 6)
9/25/2013,Sukkot (Day 7) / Hoshanah Rabah
9/26/2013,Shemini Atzeret / Simchat Torah
11/28/2013,Hanukkah (Day 1)
11/29/2013,Hanukkah (Day 2)
11/30/2013,Hanukkah (Day 3)
12/1/2013,Hanukkah (Day 4)
12/2/2013,Hanukkah (Day 5)
12/3/2013,Hanukkah (Day 6) / Rosh Chodesh Tevet
12/4/2013,Hanukkah (Day 7)
12/5/2013,Hanukkah (Day 8)
12/12/2013,Asarah B'Tevet (Tenth of Tevet)
1/16/2014,Tu Bishvat
1/27/2014,Holocaust Remembrance Day
3/13/2014,Fast of Esther
3/17/2014,Shushan Purim (Jerusalem)
4/14/2014,Passover Eve
